start_station_name,total_rides
Unknown,934674
Kingsbury St & Kinzie St,39245
Streeter Dr & Grand Ave,34761
Clinton St & Washington Blvd,33389
Clark St & Elm St,33079
Clinton St & Madison St,31396
Wells St & Concord Ln,30202
Wells St & Elm St,29587
DuSable Lake Shore Dr & North Blvd,27219
State St & Chicago Ave,25510
Clinton St & Jackson Blvd,24967
Canal St & Madison St,24328
University Ave & 57th St,23823
Dearborn St & Erie St,23821
Wells St & Huron St,23586
Desplaines St & Kinzie St,23125
DuSable Lake Shore Dr & Monroe St,22830
Michigan Ave & Oak St,22705
Wells St & Hubbard St,22673
Wilton Ave & Belmont Ave,22298
Larrabee St & Kingsbury St,22293
Wabash Ave & Grand Ave,21697
Clark St & Armitage Ave,21318
Ellis Ave & 60th St,21221
Clark St & Lincoln Ave,21176
Broadway & Barry Ave,21156
Dearborn Pkwy & Delaware Pl,21031
Canal St & Adams St,20860
Kingsbury St & Erie St,20568
LaSalle St & Illinois St,20502
Halsted St & Fulton St,20042
Indiana Ave & Roosevelt Rd,19988
Clinton St & Lake St,19878
Sheffield Ave & Fullerton Ave,19794
Orleans St & Merchandise Mart Plaza,19626
Ashland Ave & Division St,19458
Daley Center Plaza,19426
Wabash Ave & Roosevelt Rd,19356
Michigan Ave & Washington St,19130
Millennium Park,19088
Ellis Ave & 55th St,18897
Halsted St & Clybourn Ave,18808
Morgan St & Polk St,18743
Theater on the Lake,18743
Green St & Madison St,18726
Clark St & Wrightwood Ave,18417
Ravenswood Ave & Lawrence Ave,18122
Michigan Ave & Lake St,18098
Broadway & Waveland Ave,18061
Loomis St & Lexington St,17858
Dearborn St & Monroe St,17833
Columbus Dr & Randolph St,17752
Lincoln Ave & Fullerton Ave,17658
New St & Illinois St,17526
Broadway & Cornelia Ave,17523
Clark St & Lake St,17350
McClurg Ct & Ohio St,17200
Damen Ave & Pierce Ave,17012
Wells St & Evergreen Ave,16711
Peoria St & Jackson Blvd,16622
Clark St & Schiller St,16546
Larrabee St & Webster Ave,16254
Halsted St & Polk St,16225
Federal St & Polk St,16205
Clark St & Drummond Pl,15972
Clark St & Newport St,15892
Southport Ave & Waveland Ave,15845
LaSalle St & Jackson Blvd,15668
Aberdeen St & Jackson Blvd,15666
Halsted St & Roscoe St,15424
DuSable Lake Shore Dr & Diversey Pkwy,15404
Sedgwick St & Huron St,15397
Franklin St & Jackson Blvd,15383
State St & 33rd St,15268
Shedd Aquarium,15255
Halsted St & Wrightwood Ave,15160
St. Clair St & Erie St,15147
Franklin St & Lake St,15052
Fairbanks Ct & Grand Ave,14828
Pine Grove Ave & Waveland Ave,14811
Sheffield Ave & Waveland Ave,14723
Milwaukee Ave & Grand Ave,14708
Southport Ave & Roscoe St,14633
Lakeview Ave & Fullerton Pkwy,14490
Kimbark Ave & 53rd St,14452
Sheridan Rd & Irving Park Rd,14401
Rush St & Cedar St,14286
State St & Randolph St,14215
Sheffield Ave & Wrightwood Ave,14184
Michigan Ave & 8th St,14183
Franklin St & Illinois St,14076
Dusable Harbor,14073
MLK Jr Dr & 29th St,13696
Sheffield Ave & Webster Ave,13599
Sheffield Ave & Wellington Ave,13514
McClurg Ct & Erie St,13448
Clark St & Winnemac Ave,13246
Rush St & Superior St,13208
DuSable Lake Shore Dr & Belmont Ave,13189
Sedgwick St & North Ave,12962
Broadway & Sheridan Rd,12933
State St & Kinzie St,12852
Pine Grove Ave & Irving Park Rd,12852
Desplaines St & Jackson Blvd,12836
Sheffield Ave & Kingsbury St,12728
Franklin St & Monroe St,12698
Sheridan Rd & Montrose Ave,12698
Bissell St & Armitage Ave*,12633
Clark St & Wellington Ave,12589
Halsted St & Dickens Ave,12562
900 W Harrison St,12529
Clarendon Ave & Gordon Ter,12526
Ogden Ave & Chicago Ave,12520
Calumet Ave & 33rd St,12458
Sedgwick St & Webster Ave,12404
Broadway & Belmont Ave,12356
Wabash Ave & 9th St,12342
DuSable Lake Shore Dr & Wellington Ave,12164
Racine Ave & Fullerton Ave,11897
Cityfront Plaza Dr & Pioneer Ct,11829
Mies van der Rohe Way & Chestnut St,11789
Wells St & Walton St,11727
Stockton Dr & Wrightwood Ave,11712
Franklin St & Chicago Ave,11604
Dayton St & North Ave,11577
Mies van der Rohe Way & Chicago Ave,11561
Clark St & Chicago Ave,11544
Morgan St & Lake St*,11466
Canal St & Jackson Blvd,11350
Michigan Ave & 14th St,11302
Wood St & Milwaukee Ave,11298
Aberdeen St & Randolph St,11229
Clark St & Grace St,11099
Southport Ave & Wellington Ave,11095
Wilton Ave & Diversey Pkwy,11091
Montrose Harbor,11033
Honore St & Division St,11016
Elizabeth St & Randolph St,11010
Canal St & Monroe St,10871
Broadway & Wilson Ave,10842
Wells St & Polk St,10817
May St & Taylor St,10806
Wabash Ave & Wacker Pl,10795
California Ave & Milwaukee Ave,10774
Milwaukee Ave & Wabansia Ave,10763
Burling St & Diversey Pkwy,10606
Clifton Ave & Armitage Ave,10450
Racine Ave & Belmont Ave,10388
Lincoln Ave & Diversey Pkwy,10336
LaSalle Dr & Huron St,10311
Field Blvd & South Water St,10311
Halsted St & Maxwell St,10283
Ritchie Ct & Banks St,10258
Larrabee St & Division St,10200
Damen Ave & Cortland St,10190
Elston Ave & Cortland St,10184
Sangamon St & Lake St,10107
Franklin St & Adams St (Temp),10095
Wells St & Randolph St,10083
Wabash Ave & Adams St,10052
Stetson Ave & South Water St,10033
Clark St & Berwyn Ave,9970
Southport Ave & Belmont Ave,9902
Southport Ave & Wrightwood Ave,9892
Carpenter St & Huron St,9826
Clarendon Ave & Junior Ter,9781
Woodlawn Ave & 55th St,9771
Adler Planetarium,9751
Rush St & Hubbard St,9678
Wacker Dr & Washington St,9636
Halsted St & Willow St,9614
Clark St & North Ave,9568
Michigan Ave & Jackson Blvd,9521
Damen Ave & Chicago Ave,9511
Aberdeen St & Monroe St,9455
Financial Pl & Ida B Wells Dr,9400
Sheridan Rd & Buena Ave,9331
Lincoln Ave & Melrose St,9287
Blackstone Ave & 59th St,9241
Ogden Ave & Race Ave,9050
Dearborn St & Adams St,8952
Clark St & Leland Ave,8930
Buckingham Fountain,8857
Orleans St & Hubbard St,8756
Larrabee St & Oak St,8741
Michigan Ave & Madison St,8704
Lincoln Park Conservatory,8655
Jefferson St & Monroe St,8651
Kedzie Ave & Milwaukee Ave,8584
Wolcott Ave & Polk St,8525
Lake Park Ave & 56th St,8499
Michigan Ave & 18th St,8479
Sheffield Ave & Willow St,8434
Paulina St & Flournoy St,8370
Desplaines St & Randolph St,8332
Shore Dr & 55th St,8320
Ellis Ave & 58th St,8318
Western Ave & Winnebago Ave,8280
Green St & Randolph St*,8251
Orleans St & Chestnut St (NEXT Apts),8157
Damen Ave & Division St,8145
Greenview Ave & Fullerton Ave,7973
State St & Pearson St,7877
Woodlawn Ave & 58th St,7857
Sangamon St & Washington Blvd,7756
Michigan Ave & Pearson St,7725
LaSalle St & Washington St,7721
Wabash Ave & 16th St,7691
Eckhart Park,7671
Southport Ave & Irving Park Rd,7664
Halsted St & Roosevelt Rd,7637
Ada St & Washington Blvd,7576
Clark St & Ida B Wells Dr,7543
Lincoln Ave & Roscoe St*,7511
State St & Van Buren St,7480
Rhodes Ave & 32nd St,7426
Noble St & Milwaukee Ave,7409
Green St & Washington Blvd,7363
Throop St & Taylor St,7359
Larrabee St & Armitage Ave,7300
Wood St & Chicago Ave,7247
Racine Ave & Congress Pkwy,7193
State St & Harrison St,7185
Damen Ave & Thomas St (Augusta Blvd),7178
Field Museum,7082
Lakefront Trail & Bryn Mawr Ave,7065
Wells St & Institute Pl,7038
Calumet Ave & 18th St,7016
Racine Ave & Wrightwood Ave,7001
Elizabeth St & Fulton St,6991
Clark St & Montrose Ave,6950
Ashland Ave & Blackhawk St,6910
Clark St & Bryn Mawr Ave,6904
Paulina Ave & North Ave,6728
Cornell Ave & Hyde Park Blvd,6558
Larrabee St & North Ave,6555
Clinton St & Tilden St,6548
Broadway & Argyle St,6535
Broadway & Berwyn Ave,6464
Ashland Ave & Grace St,6432
Ashland Ave & Wellington Ave,6412
Clinton St & Roosevelt Rd,6371
Western Ave & Leland Ave,6358
Southport Ave & Clybourn Ave,6353
Ashland Ave & Chicago Ave,6346
Ashland Ave & Augusta Blvd,6312
Fairbanks St & Superior St,6234
Delano Ct & Roosevelt Rd,6222
Racine Ave & 18th St,6143
N Green St & W Lake St,6052
Wood St & Augusta Blvd,6051
Damen Ave & Leland Ave,6008
Hermitage Ave & Polk St,5962
Orleans St & Elm St,5948
University Ave & 59th St,5912
Walsh Park,5907
Sheridan Rd & Lawrence Ave,5871
Leavitt St & Armitage Ave,5809
Sheridan Rd & Argyle St,5793
Loomis St & Jackson Blvd,5751
Winthrop Ave & Lawrence Ave,5710
Canal St & Taylor St,5707
Greenview Ave & Diversey Pkwy,5653
Western Ave & Walton St,5588
Wood St & Taylor St (Temp),5584
Ellis Ave & 53rd St,5583
Ravenswood Ave & Irving Park Rd,5575
Lake Park Ave & 53rd St,5527
Clarendon Ave & Leland Ave,5515
Campbell Ave & North Ave,5472
McCormick Place,5444
Clark St & 9th St (AMLI),5425
Burnham Harbor,5398
Michigan Ave & Ida B Wells Dr,5377
Damen Ave & Charleston St,5369
Broadway & Thorndale Ave,5324
Clybourn Ave & Division St,5290
Morgan St & 18th St,5286
Racine Ave & Washington Blvd,5276
Wolcott (Ravenswood) Ave & Montrose Ave,5260
Paulina St & Montrose Ave,5235
Wilton Ave & Diversey Pkwy*,5234
Ashland Ave & Wrightwood Ave,5220
Lincoln Ave & Sunnyside Ave,5148
Larrabee St & Menomonee St,5114
Damen Ave & Grand Ave,5102
Seeley Ave & Roscoe St,5072
Ashland Ave & Lake St,5051
Dearborn St & Van Buren St,5037
Sheridan Rd & Noyes St (NU),5024
Broadway & Granville Ave,4986
Ashland Ave & Grand Ave,4984
State St & 35th St,4977
California Ave & Cortez St,4865
Emerald Ave & 31st St,4831
Western Ave & Division St,4820
Marine Dr & Ainslie St,4780
Blue Island Ave & 18th St,4764
Artesian Ave & Hubbard St,4729
Leavitt St & North Ave,4703
Spaulding Ave & Armitage Ave,4699
Benson Ave & Church St,4641
LaSalle St & Adams St,4640
Blackstone Ave & Hyde Park Blvd,4589
Shields Ave & 31st St,4562
Leavitt St & Chicago Ave,4555
Logan Blvd & Elston Ave,4547
Albany Ave & Bloomingdale Ave,4514
Streeter Dr/Grand Ave,4513
Lincoln Ave & Belle Plaine Ave,4501
Damen Ave & Wellington Ave,4457
Sedgwick St & Schiller St,4447
Stave St & Armitage Ave,4385
Damen Ave & Clybourn Ave,4252
Drexel Ave & 60th St,4235
Broadway & Ridge Ave,4225
Humboldt Blvd & Armitage Ave,4220
California Ave & Francis Pl,4157
Morgan Ave & 14th Pl,4146
Lincoln Ave & Byron St,4140
Wood St & Hubbard St,4119
Wentworth Ave & Cermak Rd*,4100
Chicago Ave & Sheridan Rd,4095
Leavitt St & Division St,4036
Ravenswood Ave & Berteau Ave,3957
Kedzie Ave & Palmer Ct,3955
Leavitt St & Belmont Ave,3933
Paulina St & 18th St,3931
Lincoln Ave & Waveland Ave,3872
Western Ave & Fillmore St,3858
Halsted St & 18th St,3854
Clark St & Lunt Ave,3837
Indiana Ave & 31st St,3803
Lakefront Trail & Wilson Ave,3708
Damen Ave & Wabansia Ave,3630
Cannon Dr & Fullerton Ave,3626
Damen Ave & Melrose Ave,3618
Morgan St & 31st St,3556
California Ave & North Ave,3554
Damen Ave & Foster Ave,3538
Sheridan Rd & Loyola Ave,3534
Calumet Ave & 21st St,3449
Racine Ave & Randolph St,3426
Ogden Ave & Congress Pkwy,3426
Glenwood Ave & Morse Ave,3425
Indiana Ave & 26th St,3387
Damen Ave & Sunnyside Ave,3378
Lincoln Ave & Addison St,3377
Wentworth Ave & Cermak Rd,3370
Leavitt St & Lawrence Ave,3363
W Armitage Ave & N Sheffield Ave,3363
Milwaukee Ave & Rockwell St,3316
Milwaukee Ave & Fullerton Ave,3306
California Ave & Altgeld St,3270
Southport Ave & Clark St,3265
Canal St & Harrison St,3193
Elston Ave & Wabansia Ave,3159
Wabash Ave & Cermak Rd,3076
California Ave & Division St,3059
Clark St & Elmdale Ave,3058
Campbell Ave & Montrose Ave,3020
Ashland Ave & 13th St,3004
Halsted St & Archer Ave,2976
Campbell Ave & Augusta Blvd,2961
Ashland Ave & Belle Plaine Ave,2888
Wentworth Ave & 33rd St,2887
Racine Ave & 15th St,2883
Clinton St & 18th St,2871
Greenview Ave & Jarvis Ave,2816
Winchester Ave & Elston Ave,2775
Rockwell St & Eastwood Ave,2759
Shields Ave & 28th Pl,2749
Kimball Ave & Belmont Ave,2688
Sheridan Rd & Columbia Ave,2687
Claremont Ave & Hirsch St,2683
St. Louis Ave & Fullerton Ave,2683
Wood St & Webster Ave,2647
Talman Ave & Addison St,2641
Western Ave & Congress Pkwy,2584
Harper Ave & 59th St,2565
Western Ave & Roscoe St,2565
Damen Ave & Madison St,2560
N Carpenter St & W Lake St,2554
May St & Cullerton St,2549
Calumet Ave & 35th St,2539
Avondale Ave & Irving Park Rd,2539
California Ave & Montrose Ave,2537
Fort Dearborn Dr & 31st St*,2531
Campbell Ave & Fullerton Ave,2412
State St & 19th St,2395
Laflin St & Cullerton St,2395
Clark St & Schreiber Ave,2380
Clark St & Columbia Ave,2363
Leavitt St/North Ave,2355
Damen Ave & Cullerton St,2340
Halsted St & 21st St,2311
Leavitt St & Addison St,2311
Hoyne Ave & Balmoral Ave,2287
Halsted St & 35th St,2252
Central Park Ave & Elbridge Ave,2239
Richmond St & Diversey Ave,2235
Hampden Ct & Diversey Ave,2232
Wentworth Ave & 35th St,2222
Glenwood Ave & Touhy Ave,2200
Emerald Ave & 28th St,2188
Lake Park Ave & 35th St,2166
Griffin Museum of Science and Industry,2164
Washtenaw Ave & Lawrence Ave,2160
Oakley Ave & Irving Park Rd,2131
California Ave & Fletcher St,2131
Greenwood Ave & 47th St,2109
W Washington Blvd & N Peoria St,2103
Chicago Ave & Washington St,2085
Kedzie Ave & Leland Ave,2077
California Ave & Byron St,2074
Monticello Ave & Irving Park Rd,2018
Troy St & Elston Ave,1987
Halsted St & North Branch St,1977
Cherry Ave & Blackhawk St,1941
Wallace St & 35th St,1931
Paulina St & Howard St,1927
Sheridan Rd & Greenleaf Ave,1888
Avers Ave & Belmont Ave,1886
University Library (NU),1865
Smith Park,1859
Damen Ave & Lake St,1828
Fort Dearborn Dr & 31st St,1820
Albany Ave & Montrose Ave,1795
Kosciuszko Park,1794
N Paulina St & Lincoln Ave,1762
Drake Ave & Addison St,1756
Malcolm X College,1738
Ogden Ave & Roosevelt Rd,1733
Francisco Ave & Foster Ave,1704
Spaulding Ave & Division St,1693
Lincoln Ave & Winona St,1692
Troy St & North Ave,1674
N Southport Ave & W Newport Ave,1667
W Oakdale Ave & N Broadway,1652
Rockwell St & Fletcher St,1635
Winchester (Ravenswood) Ave & Balmoral Ave,1600
Wentworth Ave & 24th St,1528
Western Ave & Monroe St,1500
Christiana Ave & Lawrence Ave,1490
Wells St & 19th St,1458
Western Ave & 21st St,1453
Manor Ave & Leland Ave,1400
Western Ave & Lunt Ave,1391
Lake Park Ave & 47th St,1379
Loomis St & Archer Ave,1360
Woodlawn Ave & Lake Park Ave,1359
Damen Ave & Walnut (Lake) St,1358
N Damen Ave & W Chicago Ave,1348
Elston Ave & George St,1334
Evanston Civic Center,1322
Francisco Ave & Chicago Ave,1276
Racine Ave & 35th St,1267
Racine Ave & 13th St,1225
Normal Ave & Archer Ave,1211
Central Park Ave & Bloomingdale Ave,1210
Eastlake Ter & Howard St,1186
Prairie Ave & Garfield Blvd,1164
Clark St & Jarvis Ave,1151
Bernard St & Elston Ave,1142
Sawyer Ave & Irving Park Rd,1125
Ashland Ave & Archer Ave,1118
MLK Jr Dr & Pershing Rd,1112
Western Ave & Berteau Ave,1110
Clinton St & Polk St,1103
Western Ave & Grace St,1101
Western Ave & Howard St,1089
Drake Ave & Montrose Ave,1066
Francisco Ave & Bloomingdale Ave,1057
Cottage Grove Ave & 63rd St,1040
Keystone Ave & Montrose Ave,1010
Central St Metra,998
Knox Ave & Montrose Ave,989
Ping Tom Park (East),983
Kedzie Ave & George St,972
Dorchester Ave & 63rd St,960
Troy St & Grace St,954
Dorchester Ave & 49th St,932
Monticello Ave & Lawrence Ave,909
Warren Park West,907
Leavitt St & Archer Ave,906
Cottage Grove Ave & 47th St,884
Cottage Grove Ave & 51st St,882
Clark St & Touhy Ave,868
Keystone Ave & Fullerton Ave,857
Western Ave & Gunnison St,850
N Shore Channel Trail & Argyle St,843
Western Ave & Granville Ave,832
Clark St & Randolph St,826
Dodge Ave & Church St,819
Kedzie Ave & 48th Pl,815
Sacramento Blvd & Addison St,810
Ridge Blvd & Howard St,798
Francisco Ave & Montrose Ave,794
California Ave & Granville Ave,792
Kedzie Ave & Foster Ave,790
Ridge Blvd & Touhy Ave,780
Valli Produce - Evanston Plaza,780
McCormick Blvd & Devon Ave,778
Central St & Girard Ave,768
Pulaski Rd & 51st St,750
St. Louis Ave & Balmoral Ave,740
California Ave & Lake St,728
Public Rack - Washtenaw Ave & Superior St,717
N Sheffield Ave & W Wellington Ave,715
State St & 29th St,702
63rd St Beach,699
Whipple/Irving Park,685
Kildare Ave & Montrose Ave,676
Cottage Grove Ave & 43rd St,671
Warren Park East,670
Elston Ave & Henderson St,664
Elmwood Ave & Austin St,663
Milwaukee Ave & Cuyler Ave,650
South Shore Dr & 71st St,648
Western Ave & 24th St,646
Kilbourn Ave & Irving Park Rd,645
Kedzie Ave & Bryn Mawr Ave,641
N Clark St & W Elm St,638
Kedzie Ave & Lake St,636
Damen Ave/Coulter St,634
Lincoln Ave & Peterson Ave,629
Oakley Ave & Touhy Ave,624
Wood St & 35th St,621
Albany Ave & Belmont Ave,621
California Ave & Winona St,616
Central Park Ave & North Ave,613
2112 W Peterson Ave,612
Museum of Science and Industry,606
Bosworth Ave & Howard St,602
Calumet Ave & 51st St,601
MLK Jr Dr & 47th St,584
Maplewood Ave & Peterson Ave,567
South Shore Dr & 67th St,558
Prairie Ave & 43rd St,552
Central Park Ave & Ogden Ave,552
Western Ave & Lake St,547
Public Rack - Christiana Ave & Belmont Ave,543
Kostner Ave & Wrightwood Ave,536
Rockwell St & Cermak Rd,532
Public Rack - Woodlawn Ave & 63rd St N,521
Campbell Ave & Irving Park Rd,518
Sacramento Blvd & Franklin Blvd,514
Wrigley Events Parking Area,513
Lincoln Ave & Balmoral Ave,508
DuSable Museum,500
Kedzie Ave & Chicago Ave,498
Richmond St & Lincoln Ave,482
Halsted St & 37th St,480
Pulaski Rd & Eddy St,480
Karlov Ave & Armitage Ave,480
Milwaukee Ave & Ainslie St,474
California Ave & 21st St,473
Long & Irving Park,469
Western Blvd & 48th Pl,466
Weekend Night Parking Area A,463
Washtenaw Ave & Ogden Ave,458
Public Rack - Hyde Park Blvd & 53rd St,455
Dodge Ave & Main St,433
Budlong Woods Library,431
Cottage Grove Ave & Oakwood Blvd,430
Dodge Ave & Mulford St,423
Lincolnwood Dr & Central St,412
State St & 95th St,406
Kilbourn Ave & Milwaukee Ave,404
Conservatory Dr & Lake St,399
Kedzie Ave & 21st St,398
Princeton Ave & 47th St,396
Wolcott Ave & Fargo Ave,392
Cottage Grove Ave & 67th St,387
Kenosha Ave & Wellington Ave,384
Springfield Ave & North Ave,372
Hoyne Ave & 47th St,367
Kenneth Ave & Lawrence Ave,353
California Ave & 23rd Pl,351
Lockwood Ave & Wrightwood Ave,349
Archer (Damen) Ave & 37th St,348
Weekend Night Parking Area B,338
St Louis Ave & Foster Ave,333
Karlov Ave & Lawrence Ave,329
Kilbourn Ave & Belden Ave,322
Komensky Ave & 31st St,321
Central Ave & Chicago Ave,314
Long Ave & Belmont Ave,313
Stony Island Ave & 63rd St,306
Sacramento Blvd & Fulton Ave,303
Washtenaw Ave & Peterson Ave,303
Jeffery Blvd & 71st St,301
Stony Island Ave & 71st St,299
Public Rack - Rockwell & Division,299
Kilbourn Ave & Diversey Ave,296
Public Rack - California Ave & Cortez St,293
Fairfield Ave & Pratt Blvd,291
Kilbourn Ave & Roscoe St,288
Public Rack - Racine Ave & 109th Pl,287
Jeffery Blvd & 67th St,286
MLK Jr Dr & 56th St,282
Public Rack - Milwaukee Ave & Diversey Ave,280
Public Rack - Hamlin Ave & Montrose Ave,278
Midway Orange Line,276
Kedvale Ave & Peterson Ave,274
Narragansett Ave & Wrightwood Ave,259
Fairfield Ave & Roosevelt Rd,257
Western Ave & Ardmore Ave,256
MLK Jr Dr & 63rd St,251
Chicago State University,251
Central Park Ave & Ardmore Ave,247
Princeton Ave & Garfield Blvd,246
Eberhart Ave & 61st St,244
Shields Ave & 43rd St,240
Washtenaw Ave & Polk St,240
Grace St & Cicero Ave,239
Public Rack - Spaulding Ave & Evergreen Ave,239
Kedzie Ave & 57th St,238
Indiana Ave & 40th St,238
Public Rack - Kedzie Ave & Argyle St,238
North Boundary Park,236
Cicero Ave & Wrightwood Ave,236
MTV Hubbard St,235
Austin Blvd & Lake St,235
Halsted St & 47th Pl,234
May St & 69th St,231
Millard Ave & 26th St,231
State St & 79th St,227
Lavergne Ave & Fullerton Ave,227
Central Ave & Altgeld St,224
South Shore Dr & 74th St,223
Stony Island Ave & 67th St,223
Virginia Ave & Catalpa Ave,221
Perry Ave & 69th St,210
Union Ave & Root St,208
Walden Pkwy & 100th St,206
State St & 54th St,204
Keeler Ave & Carmen Ave,203
Wentworth Ave & 63rd St,203
Public Rack - Langley Ave & 49th St,202
Public Rack - Harold Washington Park,200
Public Rack - Monticello Ave & Belmont Ave,200
Stony Island Ave & 75th St,199
California Ave & 26th St,198
Hamlin Ave & Grand Ave,197
Baltimore Ave & 87th St,197
Damen Ave & Pershing Rd,197
Laramie Ave & Irving Park Rd,196
Public Rack - Western Ave & Devon Ave,196
Kostner Ave & Adams St,192
Ashland Ave & 50th St,191
California Ave & Touhy Ave,190
Kostner Ave & Bryn Mawr Ave,190
